county,sampling_location,cdc_id,Seq_site
Cattaraugus,Olean,NY009027162A,Buffalo
Chautauqua,Jamestown,NY013027570A,Buffalo
Chautauqua,City of Dunkirk,NY013027961A,Buffalo
Niagra,Niagara Falls,NY063026336A,Buffalo
Allegany,Hamlet of Houghton,NY003024431A,Buffalo
Erie,Amherst WPCF,NY029025950B,Buffalo
Erie,Big Sister Creek WRRF,NY029022543A,Buffalo
Erie,Lackawanna WRRF,NY029022136A,Buffalo
Erie,Southtowns AWTF,NY029095401A,Buffalo
Erie,"Tonawanda Area 2 (City of Tonawanda, 1 sampler)",NY029026395C,Buffalo
Erie,"Tonawanda Area 1 (Ken-Ton, 1 sampler)",NY029026395B,Buffalo
Erie,Bird Island Influent,NY029028410A,Buffalo
Erie,Amherst WPCF,NY029025950B,Buffalo
Erie,"Tonawanda Area 2 (City of Tonawanda, 1 sampler)",NY029026395C,Buffalo
Erie,"Tonawanda Area 1 (Ken-Ton, 1 sampler)",NY029026395B,Buffalo
Erie,Bird Island Influent,NY029028410A,Buffalo
Dutchess,Beacon,NY027025976A,NYMC
Dutchess,City of Poughkeepsie,NY027026255A,NYMC
Dutchess,Town of Poughkeepsie,NY027026271A,NYMC
Dutchess,Wappingers Falls,NY027149209A,NYMC
Putnam,Carmel,NY079031356A,NYMC
Rockland,Haverstraw,NY087028533A,NYMC
Rockland,Orangetown,NY087026051A,NYMC
Rockland,Rockland Co Sewer District,NY087031895A,NYMC
Rockland,Suffern,NY087022748A,NYMC
Rockland,Village of Hillburn and Village of Sloatsburg,NY087270598A,NYMC
Westchester,New Rochelle,NY119026697A,NYMC
Westchester,Ossining,NY119108324A,NYMC
Westchester,Peekskill,NY119100803A,NYMC
Westchester,Port Chester,NY119026786A,NYMC
Westchester,Rye,NY119026719A,NYMC
Westchester,White Plains,NY119026701A,NYMC
Westchester,Yonkers,NY119026689A,NYMC
Cayuga,Auburn - WPCP Influent,NY011021903A,Upstate
Cortland,Cortland,NY023027561A,Upstate
Jefferson,Watertown City,NY045025984A,Upstate
Jefferson,"Fort Drum, Town of Rutland, Town of Le Ray",NY045025984B,Upstate
Jefferson,Village of West Carthage,NY045025151A,Upstate
Lewis,Village of Lowville,NY049020125A,Upstate
Madison,Village of Canastota,NY053029807A,Upstate
Madison,Village of Cazenovia,NY053028525A,Upstate
Madison,Village of Chittenango,NY053021539A,Upstate
Madison,Oneida City,NY053026956A,Upstate
Madison,Village of Morrisville,NY053261742A,Upstate
Onondaga,Metro - Influent,NY067027081A,Upstate
Onondaga,Wetzel Road,NY067027618A,Upstate
Onondaga,Meadowbrook/Limestone,NY067027723A,Upstate
Onondaga,Oak Orchard,NY067030317A,Upstate
Onondaga,Baldwinsville,NY067030571A,Upstate
Onondaga,Brewerton,NY067027596A,Upstate
Oswego,Oswego W,NY075029106A,Upstate
Livingston,Geneseo,NY051030635A,URMC
Livingston,Dansville,NY051024384A,URMC
Monroe,Town of Webster,NY055021610A,URMC
Monroe,FEV WWTP,NY055028339A,URMC
Monroe,Northwest quadrant,NY055028231A,URMC
Ontario,Canandaigua,NY069025968A,URMC
Schuyler,Villages of Watkins Glen and Montour Falls,NY097271942A,URMC
Seneca,Seneca Falls,NY099033308A,URMC
Steuben,Bath,NY101021431A,URMC
Steuben,Corning,NY101025721A,URMC
Steuben,Erwin,NY101023906A,URMC
Steuben,Painted Post,NY101025712A,URMC
Wayne,Newark,NY117029475A,URMC
Wyoming,Warsaw City,NY121021504A,URMC
Yates,Penn Yan,NY123029726A,URMC
Albany,North Plant - City of Albany,NY001026875C,Wadsworth
Albany,South Plant - City of Albany,NY001026867A,Wadsworth
Broome,Binghamton (South),NY007024414B,Wadsworth
Broome,Binghamton (North),NY007024414C,Wadsworth
Broome,Endicott,NY007027669A,Wadsworth
Chemung,Elmira City (North),NY015036986A,Wadsworth
Chemung,Elmira City (South),NY015035742A,Wadsworth
Chenango,Norwich,NY017021423A,Wadsworth
Clinton,Plattsburgh,NY019026018A,Wadsworth
Clinton,Peru,NY019023949A,Wadsworth
Columbia,Hudson,NY021022039A,Wadsworth
Delaware,Sidney,NY025029271A,Wadsworth
Essex,Lake Placid,NY031022187A,Wadsworth
Essex,Saranac Lake,NY031021733A,Wadsworth
Franklin,Tupper Lake,NY033029939A,Wadsworth
Franklin,Village of Malone,NY033030376A,Wadsworth
Fulton,Johnstown,NY035026042A,Wadsworth
Greene,Catskill,NY039020389A,Wadsworth
Hamilton,Village of Speculator,NY041026484A,Wadsworth
Herkimer,Village of Herkimer,NY043020486A,Wadsworth
Herkimer,Herkimer County Sewer District,NY043036528A,Wadsworth
Madison,Oneida City,NY053026956A,Wadsworth
Montgomery,Amsterdam,NY057020290A,Wadsworth
Oneida,Rome,NY065030864A,Wadsworth
Oneida,Utica - Suburbs,NY065025780B,Wadsworth
Oneida,Utica - City,NY065025780C,Wadsworth
Orange,City of Middletown,NY071026328A,Wadsworth
Orange,Village of Goshen,NY071031518A,Wadsworth
Orange,City of Newburgh,NY071026310B,Wadsworth
Orange,Village of Warwick,NY071023680A,Wadsworth
Orange,Town of Wallkill,NY071024422A,Wadsworth
Orange,Port Jervis WRRF,NY071026522A,Wadsworth
Orange,OCSD No 1 - Harriman WWTP,NY071027901A,Wadsworth
Orange,Village of Walden,NY071030490A,Wadsworth
Otsego,City of Oneonta,NY077031151A,Wadsworth
Rensselaer,Rensselaer,NY083087971A,Wadsworth
Saratoga,Saratoga Co. Sewer District No. 1,NY091028240A,Wadsworth
Schenectady,Schenectady,NY093020516A,Wadsworth
Schoharie,Cobbleskill,NY095024201A,Wadsworth
St Lawrence,Massena,NY089031194A,Wadsworth
St Lawrence,Village of Potsdam,NY089020818A,Wadsworth
Sullivan,Liberty,NY105030074A,Wadsworth
Sullivan,Monticello,NY105022454A,Wadsworth
Sullivan,South Fallsburg,NY105024520A,Wadsworth
Tioga,Village of Owego,NY107029262A,Wadsworth
Tompkins,Cayuga Heights,NY109020958A,Wadsworth
Tompkins,"Ithaca Area (City, Town)",NY109026638A,Wadsworth
Ulster,Kingston,NY111029351A,Wadsworth
Ulster,New Paltz,NY111030082A,Wadsworth
Warren,Glens Falls,NY113029050A,Wadsworth
Washington,Fort Edward and Kingsbury,NY115183695A,Wadsworth
Nassau,Great Neck,NY059026999A,Wadsworth
Nassau,Bay Park,NY059026450A,Wadsworth
Nassau,Cedar Creek,NY059026859A,Wadsworth
Nassau,Cedar Creek,NY059026859A,Wadsworth
Suffolk,Selden Sewer District,NY103079324A,Wadsworth
Suffolk,Towns of Babylon and Islip,NY103104809A,Wadsworth
Suffolk,Riverhead,NY103020061A,Wadsworth
Suffolk,Towns of Babylon and Islip,NY103104809A,Wadsworth
Suffolk,Selden Sewer District,NY103079324A,Wadsworth
Suffolk,Port Jefferson,NY103021750A,Wadsworth
Nassau,Bay Park,NY059026450A,Wadsworth
Nassau,Atlantic Beach,NY059023523A,Wadsworth
Nassau,Great Neck,NY059026999A,Wadsworth
Nassau,Cedar Creek,NY059026859A,Wadsworth
Nassau,Bay Park,NY059026450A,Wadsworth
Suffolk,Port Jefferson,NY103021750A,Wadsworth
Suffolk,Port Jefferson,NY103021750A,Wadsworth