bam_file	concentration_entry	reason
20230706NY071026522A	20230726NY071026522A	possible typo
20230706NY071026522A	20230406NY071026522A	possible typo
20231003NY087026051A	20231004NY087026051A	close date
20230102NY071026310A	20240102NY071026310A	possible typo
20230102NY071026310A	20230802NY071026310A	possible typo
20230102NY071026310A	20230302NY071026310A	possible typo
20230102NY071026310A	20230502NY071026310A	possible typo
20230102NY071027901A	20230502NY071027901A	possible typo
20230102NY071027901A	20230302NY071027901A	possible typo
20230102NY071027901A	20240102NY071027901A	possible typo
20230516NY071026328A	20230511NY071026328A	possible typo
20230516NY071026328A	20230216NY071026328A	possible typo
20231012NY119108324A	20231018NY119108324A	possible typo
20231012NY119108324A	20231011NY119108324A	close date
20231012NY119108324A	20231022NY119108324A	possible typo
20230101NY119026689A	20240101NY119026689A	possible typo
20230101NY119026689A	20230301NY119026689A	possible typo
20230928NY071027901A	20230921NY071027901A	possible typo
20230907NY071027901A	20230307NY071027901A	possible typo
20230516NY087026051A	20230510NY087026051A	possible typo
20230102NY071026328A	20240102NY071026328A	possible typo
20230102NY071026328A	20230302NY071026328A	possible typo
20230102NY071026328A	20230502NY071026328A	possible typo
20230102NY111029351A	20230502NY111029351A	possible typo
20230102NY111029351A	20240102NY111029351A	possible typo
20230904NY087028533A	20230504NY087028533A	possible typo
20230904NY087028533A	20230906NY087028533A	close date
20231005NY119026701A	20231004NY119026701A	close date
20231005NY119026701A	20231025NY119026701A	possible typo
20231005NY119026719A	20231025NY119026719A	possible typo
20231005NY119026719A	20231004NY119026719A	close date
20230928NY071026328A	20230921NY071026328A	possible typo
20230927NY071026310A	20230920NY071026310A	possible typo
20230921NY119100803A	20230924NY119100803A	close date
20230921NY119100803A	20230920NY119100803A	close date
20230921NY119100803A	20230918NY119100803A	close date
20231012NY119026701A	20231018NY119026701A	possible typo
20231012NY119026701A	20231011NY119026701A	close date
20231002NY079022721A	20231003NY079022721A	close date
20230927NY079031356A	20230920NY079031356A	possible typo
20230927NY079031356A	20230926NY079031356A	close date
20230926NY119100803A	20230426NY119100803A	possible typo
20230926NY119100803A	20230326NY119100803A	possible typo
20230926NY119100803A	20230924NY119100803A	close date
20230926NY119100803A	20230920NY119100803A	possible typo
20230926NY119100803A	20230726NY119100803A	possible typo
20231018NY079022721A	20231017NY079022721A	close date
20231012NY119026786A	20231011NY119026786A	close date
20231012NY119026786A	20231018NY119026786A	possible typo
20231012NY119026786A	20231022NY119026786A	possible typo
20230830NY071027901A	20230330NY071027901A	possible typo
20230830NY071027901A	20230810NY071027901A	possible typo
20230830NY071027901A	20230829NY071027901A	close date
20230102NY087022748A	20230502NY087022748A	possible typo
20230102NY087022748A	20240102NY087022748A	possible typo
20230102NY087022748A	20230802NY087022748A	possible typo
20230928NY071031518A	20230918NY071031518A	possible typo
20230928NY071031518A	20230228NY071031518A	possible typo
20230928NY071031518A	20230328NY071031518A	possible typo
20230928NY071031518A	20230920NY071031518A	possible typo
20231005NY119026697A	20231004NY119026697A	close date
20231005NY119026697A	20231025NY119026697A	possible typo
20231005NY119026689A	20231025NY119026689A	possible typo
20231005NY119026689A	20231001NY119026689A	possible typo
20231005NY119026689A	20231004NY119026689A	close date
20231003NY119026689A	20231001NY119026689A	close date
20231003NY119026689A	20231004NY119026689A	close date
20230904NY087270598A	20230906NY087270598A	close date
20231005NY119026786A	20231004NY119026786A	close date
20231107NY119026719A	20231108NY119026719A	close date
20231107NY119026719A	20231101NY119026719A	possible typo
20231012NY119026719A	20231011NY119026719A	close date
20231012NY119026719A	20231018NY119026719A	possible typo
20231012NY119026719A	20231022NY119026719A	possible typo
20231005NY119108324A	20231004NY119108324A	close date
20231005NY119108324A	20231025NY119108324A	possible typo
20230102NY071026522A	20231102NY071026522A	possible typo
20230102NY071026522A	20230802NY071026522A	possible typo
20230102NY071026522A	20230302NY071026522A	possible typo
20230907NY071031518A	20230307NY071031518A	possible typo
20231129NY027149209A	20231128NY027149209A	close date
20231005NY119100803A	20231004NY119100803A	close date
20231005NY119100803A	20231025NY119100803A	possible typo
20230516NY111029351A	20230510NY111029351A	possible typo
20230404NY059026620A	20230403NY059026620A	close date
20230404NY059026620A	20230406NY059026620A	close date
20231102NY119026719A	20231108NY119026719A	possible typo
20231102NY119026719A	20231101NY119026719A	close date
20230102NY071023680A	20240102NY071023680A	possible typo
20230102NY071023680A	20230302NY071023680A	possible typo
20230102NY071023680A	20230502NY071023680A	possible typo
20230905NY029026395C	20230906NY029026395B	close date
20230905NY029026395C	20230906NY029026395C	close date
20230905NY029026395C	20230904NY029026395B	close date
20230905NY029026395C	20230904NY029026395C	close date
20230905NY029025950B	20230906NY029025950B	close date
20230905NY029025950B	20230904NY029025950B	close date
20230620NY029022136A	20230420NY029022136A	possible typo
20230620NY029022136A	20230720NY029022136A	possible typo
20230620NY029022136A	20230629NY029022136A	possible typo
20230620NY029022136A	20230621NY029022136A	close date
20230418NY037030546A	20230118NY037030546A	possible typo
20230905NY063027774A	20230904NY063027774A	close date
20231018NY029022136A	20231012NY029022136A	possible typo
20230905NY063027979A	20230903NY063027979A	close date
20230905NY063027979A	20230605NY063027979A	possible typo
20231225NY063027057A	20231227NY063027057A	close date
20231225NY063027057A	20231205NY063027057A	possible typo
20231225NY063027057A	20231221NY063027057A	possible typo
20231024NY029026395B	20231026NY029026395B	close date
20231024NY029026395B	20231026NY029026395C	close date
20230506NY029025950B	20230906NY029025950B	possible typo
20230506NY029025950B	20230516NY029025950B	possible typo
20230506NY029025950B	20230504NY029025950B	close date
20230506NY029025950B	20230406NY029025950B	possible typo
20230506NY029025950B	20230606NY029025950B	possible typo
20230911NY029032093A	20230913NY029032093A	close date
20230911NY029032093A	20230711NY029032093A	possible typo
20230919NY063027774A	20230910NY063027774A	possible typo
20230919NY063027774A	20230916NY063027774A	close date
20230907NY029032093A	20230906NY029032093A	close date
20230829NY029028410A	20230828NY029028410A	close date
20230829NY029028410A	20230629NY029028410A	possible typo
20230829NY029028410A	20230824NY029028410A	possible typo
20230829NY029028410A	20230830NY029028410A	close date
20231016NY029028436A	20231012NY029028436A	possible typo
20231016NY029028436A	20231018NY029028436A	close date
20231016NY029028436A	20231026NY029028436A	possible typo
20230828NY063027766A	20230827NY063027766A	close date
20231121NY063027766A	20231120NY063027766A	close date
20231024NY029026395C	20231026NY029026395B	close date
20231024NY029026395C	20231026NY029026395C	close date
20230912NY101023906A	20230112NY101023906A	possible typo
20230914NY101021431A	20230214NY101021431A	possible typo
20230914NY029025950B	20230714NY029025950B	possible typo
20230914NY029025950B	20230912NY029025950B	close date
20230914NY029025950B	20230904NY029025950B	possible typo
20230914NY029025950B	20230913NY029025950B	close date
20230906NY063030651A	20230905NY063030651A	close date
20230830NY029028436A	20230829NY029028436A	close date
20230830NY029028436A	20230530NY029028436A	possible typo
20230228NY037030546A	20230302NY037030546A	close date
20230911NY029028436A	20230910NY029028436A	close date
20230911NY029028436A	20230411NY029028436A	possible typo
20230911NY029028436A	20230511NY029028436A	possible typo
20230911NY029028436A	20230913NY029028436A	close date
20230418NY073024678A	20230118NY073024678A	possible typo
20230828NY063026336A	20230827NY063026336A	close date
20230829NY029025950B	20230828NY029025950B	close date
20230829NY029025950B	20230830NY029025950B	close date
20230829NY029025950B	20230824NY029025950B	possible typo
20230829NY029025950B	20230629NY029025950B	possible typo
20230228NY037026514A	20231228NY037026514A	possible typo
20230228NY037026514A	20230302NY037026514A	close date
20230228NY037026514A	20230928NY037026514A	possible typo
20230228NY037026514A	20230223NY037026514A	possible typo
20231017NY015035742A	20231018NY015035742A	close date
20231016NY029032093A	20231116NY029032093A	possible typo
20231016NY029032093A	20231026NY029032093A	possible typo
20230905NY029095401A	20230904NY029095401A	close date
20230829NY029026395C	20230828NY029026395C	close date
20230829NY029026395C	20230830NY029026395B	close date
20230829NY029026395C	20230824NY029026395C	possible typo
20230829NY029026395C	20230830NY029026395C	close date
20230829NY029026395C	20230629NY029026395C	possible typo
20230829NY029026395C	20230828NY029026395B	close date
20230927NY009027162A	20230928NY009027162A	close date
20230927NY009027162A	20230427NY009027162A	possible typo
20230919NY009027162A	20230918NY009027162A	close date
20230803NY063027979A	20230731NY063027979A	close date
20230803NY063027979A	20230903NY063027979A	possible typo
20230803NY063027979A	20230807NY063027979A	possible typo
20230904NY063022331A	20230903NY063022331A	close date
20230828NY029027693A	20230328NY029027693A	possible typo
20230828NY029027693A	20230830NY029027693A	close date
20230829NY029026395B	20230828NY029026395C	close date
20230829NY029026395B	20230629NY029026395B	possible typo
20230829NY029026395B	20230830NY029026395B	close date
20230829NY029026395B	20230824NY029026395B	possible typo
20230829NY029026395B	20230830NY029026395C	close date
20230829NY029026395B	20230828NY029026395B	close date
20230829NY029095401A	20230629NY029095401A	possible typo
20230829NY029095401A	20230828NY029095401A	close date
20230829NY029095401A	20230830NY029095401A	close date
20230829NY029095401A	20230824NY029095401A	possible typo
20231024NY029025950B	20231026NY029025950B	close date
20230913NY101025712A	20230914NY101025712A	close date
20230913NY101025712A	20230613NY101025712A	possible typo
20230911NY063027766A	20230910NY063027766A	close date
20230619NY063022331A	20230612NY063022331A	possible typo
20230619NY063022331A	20230620NY063022331A	close date
20230831NY029027693A	20230830NY029027693A	close date
20230822NY013106895A	20230823NY013106895A	close date
20240104NY097271942A	20240105NY097271942A	close date
20230829NY029022136A	20230828NY029022136A	close date
20230829NY029022136A	20230830NY029022136A	close date
20230829NY029022136A	20230824NY029022136A	possible typo
20230829NY029022136A	20230629NY029022136A	possible typo
20230829NY029022136A	20230809NY029022136A	possible typo
20230828NY063022331A	20230827NY063022331A	close date
20231024NY029028410A	20231026NY029028410A	close date
20231017NY029022543A	20231011NY029022543A	possible typo
20231017NY029022543A	20231012NY029022543A	possible typo
20230914NY029022543A	20230904NY029022543A	possible typo
20230914NY029022543A	20230913NY029022543A	close date
20231018NY029022543A	20231011NY029022543A	possible typo
20231018NY029022543A	20231012NY029022543A	possible typo
20230905NY029028410A	20230906NY029028410A	close date
20230905NY029028410A	20230904NY029028410A	close date
20230829NY063027774A	20230828NY063027774A	close date
20230831NY029032093A	20230830NY029032093A	close date
20230912NY063027774A	20230910NY063027774A	close date
20230912NY063027774A	20230916NY063027774A	possible typo
20230905NY029026395B	20230906NY029026395B	close date
20230905NY029026395B	20230906NY029026395C	close date
20230905NY029026395B	20230904NY029026395B	close date
20230905NY029026395B	20230904NY029026395C	close date
20230918NY063026336A	20230919NY063026336A	close date
20230918NY063026336A	20230910NY063026336A	possible typo
20230918NY063026336A	20230118NY063026336A	possible typo
20230713NY029032093A	20230913NY029032093A	possible typo
20230713NY029032093A	20230711NY029032093A	close date
20230905NY029022136A	20230906NY029022136A	close date
20230905NY029022136A	20230904NY029022136A	close date
20230905NY063027766A	20230904NY063027766A	close date
20230905NY063027766A	20230605NY063027766A	possible typo
20230919NY063027979A	20230918NY063027979A	close date
20230919NY063027979A	20230910NY063027979A	possible typo
20230919NY063027979A	20230914NY063027979A	possible typo
20230919NY063027979A	20230921NY063027979A	close date
20230911NY063022331A	20230910NY063022331A	close date
20230911NY063026336A	20230919NY063026336A	possible typo
20230911NY063026336A	20230910NY063026336A	close date
20230905NY063026336A	20230904NY063026336A	close date
20231102NY015035742A	20231101NY015035742A	close date
20230616NY063027774A	20230613NY063027774A	close date
20230616NY063027774A	20230516NY063027774A	possible typo
20230616NY063027774A	20230916NY063027774A	possible typo
20230620NY029022543A	20230621NY029022543A	close date
20230620NY029022543A	20230420NY029022543A	possible typo
20230620NY029022543A	20230720NY029022543A	possible typo
20230620NY029022543A	20230920NY029022543A	possible typo
20230620NY029022543A	20230629NY029022543A	possible typo
20230914NY101023906A	20230214NY101023906A	possible typo
20230914NY101023906A	20230314NY101023906A	possible typo
20230829NY029022543A	20230824NY029022543A	possible typo
20230829NY029022543A	20230830NY029022543A	close date
20230829NY029022543A	20230809NY029022543A	possible typo
20230829NY029022543A	20230828NY029022543A	close date
20230829NY029022543A	20230629NY029022543A	possible typo
20230911NY063027979A	20230918NY063027979A	possible typo
20230911NY063027979A	20230910NY063027979A	close date
20230911NY063027979A	20230914NY063027979A	close date
20230911NY063027979A	20230921NY063027979A	possible typo
20230418NY037026514A	20230413NY037026514A	possible typo
20230418NY037026514A	20230518NY037026514A	possible typo
20230418NY037026514A	20230118NY037026514A	possible typo
20230620NY029095401A	20230720NY029095401A	possible typo
20230620NY029095401A	20230629NY029095401A	possible typo
20230620NY029095401A	20230621NY029095401A	close date
20231018NY013027961AB	20231016NY013027961A	close date
20231004NY013027961AB	20231002NY013027961A	close date
20230628NY013027961A1	20230626NY013027961A	close date
20230102NY045025984A	20230902NY045025984A	possible typo
20230102NY045025984A	20240102NY045025984A	possible typo
20230102NY023027561A	20240102NY023027561A	possible typo
20231017NY045025151A	20231018NY045025151A	close date
20230928NY089029831A	20230929NY089029831A	close date
20231010NY075029106A	20231018NY075029106A	possible typo
20230102NY045025984B	20240102NY045025984B	possible typo
20230902NY045025984B	20230902NY045025984A	close date
20230902NY045025984B	20230905NY045025984B	close date
20230809NY033029939A	20230808NY033029939A	close date
20231101NY075020257A	20231102NY075020257A	close date
20230913NY031021733A	20230213NY031021733A	possible typo
20230913NY031021733A	20230912NY031021733A	close date
20231018NY075020257A	20231019NY075020257A	close date
20231010NY053021539A	20231009NY053021539A	close date
20230507NY023027561A	20230508NY023027561A	close date
20240104NY019022195A	20240124NY019022195A	possible typo
20240104NY019022195A	20240103NY019022195A	close date
20230102NY067025461A	20240102NY067025461A	possible typo
20231017NY075029114A	20231018NY075029114A	close date
20231106NY053028525A	20231107NY053028525A	close date
20230504NY007027669B	20230504NY007027669A	close date
20230102NY053029807A	20230502NY053029807A	possible typo
20230102NY053029807A	20240102NY053029807A	possible typo
20230102NY089029831A	20231102NY089029831A	possible typo
20230928NY041026484A	20230921NY041026484A	possible typo
20230928NY041026484A	20230927NY041026484A	close date
20230613NY023027561A	20230213NY023027561A	possible typo
20230613NY023027561A	20230413NY023027561A	possible typo
20230613NY023027561A	20230612NY023027561A	close date
20230903NY067025461A	20230905NY067025461A	close date
20230102NY019023949A	20230502NY019023949A	possible typo
20230102NY019023949A	20240102NY019023949A	possible typo
20231023NY045025984A-2	20231020NY045025984A	close date
20230905NY045025984A-2	20230902NY045025984A	close date
20230905NY045025984A-2	20230905NY045025984B	close date
20240109NY045025984A-2	20240112NY045025984A	close date
20240110NY019026018A-2	20240108NY019026018A	close date
20231107NY069025968A	20231106NY069025968A	close date
20230301NY109020958A	20230321NY109020958A	possible typo
20230301NY109020958A	20230228NY109020958A	close date
20230301NY109020958A	20230307NY109020958A	possible typo
20230927NY055028339A	20230926NY055028339A	close date
20240103NY069023531A	20240104NY069023531A	close date
20230613NY055028231A	20230213NY055028231A	possible typo
20230613NY055028231A	20230614NY055028231A	close date
20230613NY055028231A	20230313NY055028231A	possible typo
20230613NY055028231A	20230612NY055028231A	close date
20230928NY007024414B	20230927NY007024414B	close date
20230928NY007024414B	20230927NY007024414C	close date
20240104NY025029271A	20240103NY025029271A	close date
20240104NY025029271A	20240124NY025029271A	possible typo
20230928NY069025968A	20230328NY069025968A	possible typo
20230928NY069025968A	20230228NY069025968A	possible typo
20230503NY055028339A	20230507NY055028339A	possible typo
20230503NY055028339A	20230103NY055028339A	possible typo
20230503NY055028339A	20230502NY055028339A	close date
20231031NY007027669B	20231031NY007027669A	close date
20231010NY073021873A	20231011NY073021873A	close date
20240108NY007024414C	20240208NY007024414C	possible typo
20240108NY007024414C	20240118NY007024414C	possible typo
20240108NY007024414C	20240109NY007024414B	close date
20240108NY007024414C	20240111NY007024414C	close date
20240108NY007024414C	20240109NY007024414C	close date
20240108NY007024414C	20240111NY007024414B	close date
20230830NY073028401A	20230831NY073028401A	close date
20230830NY073023256A	20230831NY073023256A	close date
20231214NY069025968A	20230214NY069025968A	possible typo
20230508NY055028339A	20230507NY055028339A	close date
20230508NY055028339A	20230502NY055028339A	possible typo
20230830NY037020907A	20230831NY037020907A	close date
20230907NY007024414B	20230927NY007024414B	possible typo
20230926NY007024414C	20230927NY007024414B	close date
20230926NY007024414C	20230927NY007024414C	close date
20230611NY055028231A	20230614NY055028231A	close date
20230611NY055028231A	20230612NY055028231A	close date
20230102NY109026638A	20240102NY109026638A	possible typo
20230824NY007024414B	20230823NY007024414B	close date
20230612NY055028339A	20230611NY055028339A	close date
20230612NY055028339A	20230613NY055028339A	close date
20230612NY055028339A	20230212NY055028339A	possible typo
20230612NY055028339A	20230312NY055028339A	possible typo
20230612NY055028339A	20230912NY055028339A	possible typo
20231017NY017021423A	20231018NY017021423A	close date
20231012NY025029271A	20231011NY025029271A	close date
20230926NY007024414B	20230927NY007024414B	close date
20230926NY007024414B	20230927NY007024414C	close date
20230511NY123029726A	20230510NY123029726A	close date
20230205NY023027561A	20230206NY023027561A	close date
20230205NY023027561A	20240205NY023027561A	possible typo
20230913NY007027669B	20230913NY007027669A	close date
20231107NY007027669B	20231107NY007027669A	close date
20231004NY007027669B	20231004NY007027669A	close date
20230614NY055028339A	20230611NY055028339A	close date
20230614NY055028339A	20230613NY055028339A	close date
20230614NY055028339A	20230314NY055028339A	possible typo
20231017NY055028231A	20231018NY055028231A	close date
20231011NY007027669B	20231011NY007027669A	close date
20230913NY055028339A	20230613NY055028339A	possible typo
20230913NY055028339A	20230912NY055028339A	close date
20231010NY037026514A	20231011NY037026514A	close date
20231010NY037026514A	20231012NY037026514A	close date
20231010NY037026514A	20231019NY037026514A	possible typo
20231010NY073024678A	20231011NY073024678A	close date
20230921NY069025968A	20230221NY069025968A	possible typo
20230104NY055028339A	20230404NY055028339A	possible typo
20230104NY055028339A	20230103NY055028339A	close date
20230102NY065025780C	20231102NY065025780C	possible typo
20230102NY065025780C	20240102NY065025780C	possible typo
20230605NY059026999A	20230606NY059026999A	close date
20230516NY057020290A	20230316NY057020290A	possible typo
20230607NY059026859A	20230608NY059026859A	close date
20231017NY001022225A	20231018NY001022225A	close date
20231219NY059026778A	20231212NY059026778A	possible typo
20231219NY059026778A	20231218NY059026778A	close date
20231219NY059026778A	20231019NY059026778A	possible typo
20230430NY103020061A	20230501NY103020061A	close date
20230430NY103020061A	20230410NY103020061A	possible typo
20230615NY059026620A	20230614NY059026620A	close date
20230102NY043036528A	20240102NY043036528A	possible typo
20230102NY043036528A	20230103NY043036528A	close date
20230102NY043036528A	20230802NY043036528A	possible typo
20230223NY083087971A	20230823NY083087971A	possible typo
20230223NY083087971A	20230222NY083087971A	close date
20230102NY065025780B	20240102NY065025780B	possible typo
20231011NY065021377A	20231010NY065021377A	close date
20231218NY103206644A	20231212NY103206644A	possible typo
20231218NY103206644A	20231219NY103206644A	close date
20230919NY065036790A	20230920NY065036790A	close date
20230111NY105024520A	20230112NY105024520A	close date
20240123NY065030864A	20240124NY065030864A	close date
20230803NY115183695A	20230802NY115183695A	close date
20231108NY059021822A	20231109NY059021822A	close date
20230913NY035026042A	20230914NY035026042A	close date
20230913NY035026042A	20230413NY035026042A	possible typo
20231226NY073021873A	20231227NY073021873A	close date
20230823NY059023523A	20230822NY059023523A	close date
20230126NY071026310A	20230726NY071026310A	possible typo
20230126NY071026310A	20230125NY071026310A	close date
20231221NY059026450A	20231227NY059026450A	possible typo
20231221NY059026450A	20231220NY059026450A	close date
20230503NY065036790A	20230502NY065036790A	close date
20231113NY103020061A	20231213NY103020061A	possible typo
20230711NY103206644A	20230712NY103206644A	close date
20230711NY103206644A	20230411NY103206644A	possible typo
20230103NY059026450A	20230104NY059026450A	close date
20230103NY059026450A	20230109NY059026450A	possible typo
20240103NY065021377A	20240109NY065021377A	possible typo
20240103NY065021377A	20240104NY065021377A	close date
20240103NY065021377A	20240102NY065021377A	close date
20230221NY019026018A	20230220NY019026018A	close date
20231228NY059026778A	20231218NY059026778A	possible typo
20231226NY037020907A	20231227NY037020907A	close date
20230613NY059026620A	20230614NY059026620A	close date
20230613NY059026620A	20230413NY059026620A	possible typo
20230108NY059026450A	20230104NY059026450A	possible typo
20230108NY059026450A	20230109NY059026450A	close date
20231005NY065022110A	20231004NY065022110A	close date
20231005NY065022110A	20231025NY065022110A	possible typo
20230427NY065025780C	20230417NY065025780C	possible typo
20230427NY035026042A	20230417NY035026042A	possible typo
20230102NY065021377A	20240102NY065021377A	possible typo
20230425NY059023523A	20230426NY059023523A	close date
20230521NY103104809A	20230501NY103104809A	possible typo
20231226NY073028401A	20231227NY073028401A	close date
20231010NY065025780C	20231030NY065025780C	possible typo
20230111NY093020516A	20230110NY093020516A	close date
20230111NY093020516A	20240111NY093020516A	possible typo
20230111NY093020516A	20230411NY093020516A	possible typo
20230102NY039033545A	20240102NY039033545A	possible typo
20230306NY103206644A	20230307NY103206644A	close date
20240103NY115183695A	20240104NY115183695A	close date
20230921NY103206644A	20230919NY103206644A	close date
20230921NY103206644A	20230321NY103206644A	possible typo
20230316NY019022195A	20230315NY019022195A	close date
20231017NY095024201A	20231018NY095024201A	close date
20240131NY035026042A	20240111NY035026042A	possible typo
20231226NY037026514A	20231228NY037026514A	close date
20231226NY037026514A	20231221NY037026514A	possible typo
20231226NY037026514A	20231227NY037026514A	close date
20230110NY059026778A	20230810NY059026778A	possible typo
20230110NY059026778A	20230111NY059026778A	close date
20230606NY031021733A	20230605NY031021733A	close date
20230712NY059026778A	20230711NY059026778A	close date
20231017NY043036528A	20231018NY043036528A	close date
20231019NY083026034A	20231018NY083026034A	close date
20231204NY039033545A	20231203NY039033545A	close date
20231226NY073023256A	20231227NY073023256A	close date
20230523NY059026450A	20230522NY059026450A	close date
20230430NY103104809A	20230501NY103104809A	close date
20230430NY103104809A	20230410NY103104809A	possible typo
20240103NY113029050A	20240108NY113029050A	possible typo
20240103NY113029050A	20240104NY113029050A	close date
20230905NY103024881A	20230906NY103024881A	close date
20230427NY065025780B	20230417NY065025780B	possible typo
20230102NY057020290A	20240102NY057020290A	possible typo
20230221NY019026018ARPT	20230220NY019026018A	close date
20231211NY043036528AOG	20231211NY043036528A	close date
20230214NY089236586Arepeat	20230216NY089236586A	close date
20230223NY083087971ARPT	20230222NY083087971A	close date
